,time,open,high,low,close,volume,day,month,year,hour,min,pre
0,2020-12-18 05:44:00,14.83,14.83,14.83,14.83,119,18,12,2020,5,44,544
1,2020-12-18 06:17:00,14.84,14.84,14.83,14.83,6800,18,12,2020,6,17,617
2,2020-12-18 07:01:00,14.89,14.89,14.89,14.89,201,18,12,2020,7,1,701
3,2020-12-18 07:03:00,14.87,14.87,14.87,14.87,200,18,12,2020,7,3,703
4,2020-12-18 07:08:00,14.9,14.9,14.9,14.9,1878,18,12,2020,7,8,708
5,2020-12-18 07:22:00,14.94,14.94,14.94,14.94,250,18,12,2020,7,22,722
6,2020-12-18 07:24:00,14.86,14.86,14.84,14.84,1489,18,12,2020,7,24,724
7,2020-12-18 07:50:00,14.93,14.94,14.93,14.94,232,18,12,2020,7,50,750
8,2020-12-18 07:51:00,14.84,14.93,14.83,14.93,1843,18,12,2020,7,51,751
9,2020-12-18 07:56:00,14.89,14.89,14.89,14.89,471,18,12,2020,7,56,756
10,2020-12-18 08:01:00,14.8701,14.9,14.8303,14.8719,4828,18,12,2020,8,1,801
11,2020-12-18 08:06:00,14.9,14.9,14.9,14.9,300,18,12,2020,8,6,806
12,2020-12-18 08:07:00,14.9,14.9,14.9,14.9,122,18,12,2020,8,7,807
13,2020-12-18 08:11:00,14.86,14.86,14.86,14.86,200,18,12,2020,8,11,811
14,2020-12-18 08:13:00,14.8801,14.89,14.8801,14.89,201,18,12,2020,8,13,813
15,2020-12-18 08:15:00,14.9,14.9,14.9,14.9,2000,18,12,2020,8,15,815
16,2020-12-18 08:29:00,14.8899,14.89,14.8899,14.89,600,18,12,2020,8,29,829
17,2020-12-18 08:33:00,14.86,14.86,14.85,14.85,300,18,12,2020,8,33,833
18,2020-12-18 08:38:00,14.85,14.85,14.85,14.85,128,18,12,2020,8,38,838
19,2020-12-18 08:46:00,14.86,14.86,14.86,14.86,529,18,12,2020,8,46,846
20,2020-12-18 08:47:00,14.89,14.91,14.87,14.91,664,18,12,2020,8,47,847
21,2020-12-18 08:50:00,14.91,14.91,14.91,14.91,807,18,12,2020,8,50,850
22,2020-12-18 08:54:00,14.9199,14.9199,14.8999,14.8999,200,18,12,2020,8,54,854
23,2020-12-18 08:57:00,14.9,14.9,14.9,14.9,200,18,12,2020,8,57,857
24,2020-12-18 09:00:00,14.9,14.92,14.9,14.92,8576,18,12,2020,9,0,900
25,2020-12-18 09:01:00,14.93,14.9302,14.93,14.9302,2952,18,12,2020,9,1,901
26,2020-12-18 09:02:00,14.93,14.93,14.93,14.93,291,18,12,2020,9,2,902
27,2020-12-18 09:03:00,14.93,14.9399,14.93,14.9399,325,18,12,2020,9,3,903
28,2020-12-18 09:04:00,14.93,14.94,14.93,14.94,1823,18,12,2020,9,4,904
29,2020-12-18 09:05:00,14.93,14.94,14.93,14.94,1210,18,12,2020,9,5,905
30,2020-12-18 09:06:00,14.97,14.98,14.97,14.98,4661,18,12,2020,9,6,906
31,2020-12-18 09:07:00,14.98,15.05,14.98,15.04,26492,18,12,2020,9,7,907
32,2020-12-18 09:08:00,15.04,15.1299,15.04,15.1299,6670,18,12,2020,9,8,908
